Fuel,Pathway Name,Pathway Description,Region,Number,Year,Cost [$/tonne],Emissions [kg CO2e / kg fuel],Details,Model(s) or publications,Results Produced by,Comment
ammonia,SMR_CCS_grid,,Canada,1,2024,6.03E+02,2.08E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378940,"H2A + Zang et al, 2021: https://doi.org/10.1016/j.ijhydene.2023.09.230.",Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR_CCS_grid,,Mexico,1,2024,7.64E+02,2.84E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378941,"H2A + Zang et al, 2021: https://doi.org/10.1016/j.ijhydene.2023.09.230.",Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR_CCS_grid,,Australia,1,2024,8.46E+02,2.93E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378942,"H2A + Zang et al, 2021: https://doi.org/10.1016/j.ijhydene.2023.09.230.",Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR_CCS_grid,,India,1,2024,8.59E+02,3.30E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378943,"H2A + Zang et al, 2021: https://doi.org/10.1016/j.ijhydene.2023.09.230.",Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR_CCS_grid,,Indonesia,1,2024,7.27E+02,3.30E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378944,"H2A + Zang et al, 2021: https://doi.org/10.1016/j.ijhydene.2023.09.230.",Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR_CCS_grid,,Philippines,1,2024,1.40E+03,3.07E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378945,"H2A + Zang et al, 2021: https://doi.org/10.1016/j.ijhydene.2023.09.230.",Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR_CCS_grid,,Singapore,1,2024,2.00E+03,2.76E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378946,"H2A + Zang et al, 2021: https://doi.org/10.1016/j.ijhydene.2023.09.230.",Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR_CCS_grid,,Thailand,1,2024,5.45E+02,2.93E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378947,"H2A + Zang et al, 2021: https://doi.org/10.1016/j.ijhydene.2023.09.230.",Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR_CCS_grid,,China,1,2024,7.06E+02,3.01E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378948,"H2A + Zang et al, 2021: https://doi.org/10.1016/j.ijhydene.2023.09.230.",Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
ammonia,SMR_CCS_grid,,Japan,1,2024,1.15E+03,2.79E+00,https://docs.google.com/spreadsheets/d/1uEJaRDQZnTVvMw1-XqN8fl7XEj3xhUSk/edit?gid=1002378938#gid=1002378949,"H2A + Zang et al, 2021: https://doi.org/10.1016/j.ijhydene.2023.09.230.",Christopher Douglas,Liquid cryogenic ammonia at atmospheric pressure
