Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Year,CapEx [$/tonne],OpEx [$/tonne],LCOF [$/tonne],Emissions [kg CO2e / kg fuel],Comment
FTdiesel,SMR,DAC,grid,SMR_H_DAC_C_grid_E,Greece,2024,408.89763757003453,3253.7283764912113,3662.6260140612458,4.039747437546211,Liquid methanol at STP
FTdiesel,SMR,DAC,grid,SMR_H_DAC_C_grid_E,Austria,2024,462.2321120356913,3987.402603966861,4449.6347160025525,3.984151344848705,Liquid methanol at STP
FTdiesel,SMR,DAC,grid,SMR_H_DAC_C_grid_E,Switzerland,2024,491.12161903792196,5219.157060523671,5710.278679561593,3.9654553136760917,Liquid methanol at STP
FTdiesel,SMR,DAC,grid,SMR_H_DAC_C_grid_E,Portugal,2024,404.45309803122984,3579.282941531443,3983.736039562673,3.997681367407833,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,United States,2024,630.0889371567204,1853.2989561532213,2483.387893309942,-1.3523324623020216,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Brazil,2024,642.6907158998547,3794.621016524296,4437.31173242415,-1.4189988128851274,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Canada,2024,560.7791540694811,1302.9305172794577,1863.7096713489389,-1.4012867197412764,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Mexico,2024,510.3720390969435,1232.7754089400235,1743.147448036967,-1.3183842837763078,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Australia,2024,616.8570694764292,1731.5214688251378,2348.378538301567,-1.3080522294423949,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,India,2024,399.4763861573607,2701.376959421662,3100.8533455790225,-1.267708017281401,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Indonesia,2024,401.36665296883086,2688.673972743891,3090.040625712722,-1.267708017281401,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Philippines,2024,437.9118113239205,5226.465643778411,5664.377455102331,-1.2928001492351893,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Singapore,2024,521.0835510286076,6312.93046927135,6834.014020299958,-1.327240330348233,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Thailand,2024,410.81798702618164,1183.579758716773,1594.3977457429546,-1.30780622814873,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,China,2024,496.5100824794956,2231.171731061759,2727.681813541255,-1.299934186751463,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Japan,2024,677.3456074434743,3133.4829349770716,3810.828542420546,-1.3237963122369285,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Russia,2024,448.62332325558486,652.675769866682,1101.2990931222669,-1.3346203691581708,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,South Korea,2024,724.6022777302283,2585.7240724659327,3310.326350196161,-1.3370803820948167,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Taipei,2024,533.0552408345853,6514.628203273231,7047.683444107816,-1.434496894385997,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,South Arabia,2024,669.1544512604371,6609.869717720286,7279.024168980723,-1.2689380237497239,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,South Africa,2024,767.4483254568853,6615.767350172073,7383.215675628958,-1.2689380237497239,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Turkey,2024,458.7047462500924,1667.8811949573073,2126.5859412073996,-1.3287163381102207,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Belgium,2024,722.0819219816015,3203.514061409521,3925.595983391123,-1.4091587611385437,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,France,2024,647.7314273971084,4113.00352639034,4760.734953787449,-1.4293308672190406,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Germany,2024,656.5526725173025,4197.260296300319,4853.812968817621,-1.3493804467780468,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Italy,2024,585.9827115557499,5225.556774843399,5811.539486399149,-1.3616805114612767,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Netherlands,2024,710.7403211127805,5370.984851776722,6081.725172889503,-1.3771785929621458,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Spain,2024,551.3278200121304,3334.9280922843604,3886.255912296491,-1.4003027145666183,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,United Kingdom,2024,640.1703601512279,3507.0444035137402,4147.214763664968,-1.3845586317720837,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Czech Republic,2024,564.5596876924213,3286.0430302999594,3850.602717992381,-1.3117422488473633,Liquid methanol at STP
FTdiesel,SMRCCS,DAC,grid,SMRCCS_H_DAC_C_grid_E,Finland,2024,725.8624556045418,4701.7460973740435,5427.608552978585,-1.4236728374647547,Liquid methanol at STP
